NewQuestion,MC,
QuestionText,"In the context of this chapter, what is machine learning primarily about?",
Option,0,"Writing programs with more loops and conditionals",
Option,100,"Extracting knowledge or patterns from data to make predictions or decisions",
Option,0,"Encrypting data so it can be stored securely",
Option,0,"Converting Python code into faster C code",

NewQuestion,MC,
QuestionText,"Which scenario is the clearest example of supervised learning?",
Option,0,"Grouping players into "play styles" without labels",
Option,0,"Finding unusual logins by clustering user behavior",
Option,100,"Predicting whether an email is spam using labeled examples (spam / not spam)",
Option,0,"Compressing images using dimensionality reduction without labels",

NewQuestion,MC,
QuestionText,"In the chapter's notation, what does X usually represent?",
Option,100,"The input features (the measured attributes used to make predictions)",
Option,0,"The predicted labels produced by a trained model",
Option,0,"The final evaluation score of a model",
Option,0,"The random seed used to shuffle a dataset",

NewQuestion,MC,
QuestionText,"In the chapter's notation, what does y usually represent?",
Option,0,"The number of features in the dataset",
Option,0,"The rows of the dataset before shuffling",
Option,0,"The algorithm's hyperparameters",
Option,100,"The target values / labels the model is trying to learn",

NewQuestion,MC,
QuestionText,"Which statement best describes why we split data into training and test sets?",
Option,0,"To make the program run faster during training",
Option,0,"To increase the number of samples in the dataset",
Option,100,"To evaluate how well a model generalizes to unseen data",
Option,0,"To ensure the dataset contains only numeric values",

NewQuestion,MC,
QuestionText,"What does "generalization" mean in machine learning?",
Option,0,"The ability of Python code to run on multiple operating systems",
Option,100,"The ability of a model to perform well on new, unseen data",
Option,0,"The ability of a dataset to include many columns",
Option,0,"The ability of an algorithm to memorize training examples",

NewQuestion,MC,
QuestionText,"Why is evaluating a model on the same data used to train it problematic?",
Option,0,"It always produces an accuracy of exactly 50%",
Option,0,"It prevents the use of scikit-learn",
Option,0,"It makes the dataset too small to be useful",
Option,100,"It can give an overly optimistic estimate of performance",

NewQuestion,MC,
QuestionText,"In scikit-learn, what does the method name fit() mean?",
Option,0,"It prints the dataset in a nicely formatted table",
Option,0,"It removes missing values from the dataset",
Option,100,"It learns model parameters from the training data",
Option,0,"It converts the model into a visualization",

NewQuestion,MC,
QuestionText,"In scikit-learn, which method is typically used to make predictions on new data after training?",
Option,100,"predict()",
Option,0,"fit()",
Option,0,"score()",
Option,0,"split()",

NewQuestion,MC,
QuestionText,"What is the purpose of the random_state argument in train/test splitting?",
Option,0,"It increases the size of the training set automatically",
Option,100,"It makes the split reproducible so results can be repeated",
Option,0,"It forces the model to be random during training",
Option,0,"It prevents the dataset from being shuffled",

NewQuestion,MC,
QuestionText,"Which library listed in the chapter is most directly associated with machine learning algorithms in this course?",
Option,0,"matplotlib",
Option,0,"pandas",
Option,0,"NumPy",
Option,100,"scikit-learn",

NewQuestion,MC,
QuestionText,"Which library is most commonly used for creating plots/figures in the chapter's workflow?",
Option,0,"SciPy",
Option,100,"matplotlib",
Option,0,"scikit-learn",
Option,0,"IPython",

NewQuestion,MC,
QuestionText,"Which statement best describes pandas in the chapter's tool set?",
Option,100,"A library for working with tabular data (data tables / DataFrames)",
Option,0,"A library for training neural networks",
Option,0,"A library for rendering 3D graphics in notebooks",
Option,0,"A library for encrypting datasets",

NewQuestion,MC,
QuestionText,"Which statement best describes NumPy in the chapter's tool set?",
Option,0,"A library that only works for text processing",
Option,0,"A library that replaces Python entirely",
Option,100,"A library providing efficient arrays and numerical computing tools",
Option,0,"A library used only for web development",

NewQuestion,MC,
QuestionText,"What is a "feature" in a machine learning dataset?",
Option,0,"The name of the dataset file",
Option,100,"An individual measurable property/attribute used as an input to the model",
Option,0,"The final accuracy score of the model",
Option,0,"A plotting style used in matplotlib",

NewQuestion,MC,
QuestionText,"In the Iris dataset example used in many introductory workflows, what is the learning task most commonly demonstrated?",
