NewQuestion,MC,
QuestionText,"In this textbook (and this course), the primary focus is:",
Option,0,"Statistical theory and inference",
Option,100,"Python programming tools and libraries for working with data",
Option,0,"Building web applications with Python frameworks",
Option,0,"Database administration and server tuning",

NewQuestion,MC,
QuestionText,"Which is the best description of "structured data" as used in Chapter 1?",
Option,0,"Any data that appears in a PDF",
Option,100,"Data that can often be arranged into tables, arrays, related tables, or time series",
Option,0,"Data that is always numeric",
Option,0,"Data that is already cleaned and validated",

NewQuestion,MC,
QuestionText,"Which example is specifically listed as a common form of structured data?",
Option,0,"A video recording of a lecture",
Option,0,"A folder of mixed images",
Option,100,"Multiple tables interrelated by key columns",
Option,0,"A random stream of characters with no separators",

NewQuestion,MC,
QuestionText,"The "two-language problem" refers to the challenge of:",
Option,0,"Translating Python code into JavaScript for the web",
Option,100,"Prototyping in one language/tool and later rewriting for production in another",
Option,0,"Running Python code on both Windows and macOS",
Option,0,"Using two monitors while coding",

NewQuestion,MC,
QuestionText,"In the "Python as glue" idea, Python is commonly used to:",
Option,0,"Replace all low-level code with pure Python for speed",
Option,100,"Connect and orchestrate components written in lower-level languages (like C/C++/Fortran)",
Option,0,"Encrypt datasets automatically",
Option,0,"Generate random data for testing",

NewQuestion,MC,
QuestionText,"One reason Python may be less suitable for some use cases is:",
Option,0,"It cannot read files",
Option,0,"It cannot be used interactively",
Option,100,"It is interpreted and can be slower than compiled languages for some workloads",
Option,0,"It does not support numerical computing",

NewQuestion,MC,
QuestionText,"The global interpreter lock (GIL) is discussed as a reason Python can be challenging for:",
Option,0,"Plotting charts",
Option,0,"String formatting",
Option,100,"Highly concurrent, multithreaded CPU-bound applications",
Option,0,"Creating CSV files",

NewQuestion,MC,
QuestionText,"In Chapter 1, NumPy is described primarily as a cornerstone for:",
Option,0,"Web scraping",
Option,100,"Numerical computing with fast multidimensional arrays",
Option,0,"Writing GUI applications",
Option,0,"Managing user accounts",

NewQuestion,MC,
QuestionText,"A key NumPy data structure mentioned in Chapter 1 is:",
Option,0,"DataFrame",
Option,0,"Series",
Option,100,"ndarray",
Option,0,"OrderedDict",

NewQuestion,MC,
QuestionText,"In Chapter 1, pandas is described as providing high-level tools for:",
Option,0,"Game development",
Option,100,"Working with structured/tabular data using DataFrame and Series",
Option,0,"Low-level device drivers",
Option,0,"Compiling Python into machine code",

NewQuestion,MC,
QuestionText,"Which pair of pandas objects is emphasized as primary in the book?",
Option,0,"Matrix and Vector",
Option,100,"DataFrame and Series",
Option,0,"Table and Record",
Option,0,"Schema and Index",

NewQuestion,MC,
QuestionText,"pandas is described as blending NumPy's array computing with capabilities commonly found in:",
Option,0,"Video editors",
Option,0,"Audio mixers",
Option,100,"Spreadsheets and relational databases (SQL-like operations)",
Option,0,"3D modeling software",

NewQuestion,MC,
QuestionText,"In the book's discussion of pandas design goals, labeled axes help primarily with:",
Option,0,"Increasing monitor resolution",
Option,100,"Avoiding errors from misaligned data by supporting data alignment",
Option,0,"Compressing files automatically",
Option,0,"Rendering plots faster than NumPy",

NewQuestion,MC,
QuestionText,"In Chapter 1, matplotlib is introduced primarily as a library for:",
Option,0,"Text editing",
Option,0,"Web hosting",
Option,100,"Plotting and visualization",
Option,0,"Password management",

NewQuestion,MC,
QuestionText,"In Chapter 1.6, code examples are often shown in an interactive style labeled:",
Option,0,"Begin/End",
Option,0,"Start/Stop",
Option,100,"In [ ] and Out[ ]",
Option,0,"Input/Compile",

NewQuestion,MC,
QuestionText,"According to Chapter 1.6, when you see an "In [ ]" code example, the intent is that you:",
Option,0,"Only read it; do not run it",
Option,100,"Type and run the code in your environment and compare results",
Option,0,"Convert it to C++ first",
Option,0,"Paste it into a spreadsheet",

NewQuestion,MC,
QuestionText,"Chapter 1.6 explains that import conventions like "import numpy as np" exist largely because:",
Option,0,"Python requires all imports to use nicknames",
Option,100,"Importing everything from a large package (from numpy import *) is considered bad practice",
Option,0,"It makes Python run faster automatically",
Option,0,"It prevents syntax errors in strings",

NewQuestion,MC,
QuestionText,"In the book's import conventions, "plt" commonly refers to:",
Option,0,"pandas",
Option,0,"NumPy",
Option,100,"matplotlib.pyplot",
