NewQuestion,MC,
QuestionText,"A dataset contains past students. For each student, you have attendance, homework rate, quiz average, and exam average, plus a column `pass_fail` that says pass or fail. Why is this supervised learning?",
Option,0,"The dataset has only numeric columns",
Option,0,"The dataset is split into training and test sets",
Option,100,"The dataset includes the correct output (pass/fail) for each student",
Option,0,"The model is trained without labels",

NewQuestion,MC,
QuestionText,"You want to predict whether a student will pass or fail. What type of supervised learning task is this?",
Option,0,"Clustering",
Option,100,"Classification",
Option,0,"Regression",
Option,0,"Dimensionality reduction",

NewQuestion,MC,
QuestionText,"You want to predict a student's final numeric course score (0–100). What type of supervised learning task is this?",
Option,0,"Dimensionality reduction",
Option,100,"Regression",
Option,0,"Clustering",
Option,0,"Classification",

NewQuestion,MC,
QuestionText,"In the chapter's notation, what does X represent most of the time?",
Option,0,"The test set labels",
Option,100,"The input features (columns used to make predictions)",
Option,0,"The model's predictions",
Option,0,"The model's accuracy score",

NewQuestion,MC,
QuestionText,"In the chapter's notation, what does y represent most of the time?",
Option,0,"The number of neighbors in kNN",
Option,100,"The target/label (the output we want to predict)",
Option,0,"The input features",
Option,0,"The training rows",

NewQuestion,MS,
QuestionText,"(Select all that apply) Which of the following could be a classification target (y)?",
Option,1,"{spam, not spam}",
Option,0,"House price in dollars",
Option,1,"{pass, fail}",
Option,0,"Temperature in degrees",
Option,1,"{cat, dog, rabbit}",

NewQuestion,MS,
QuestionText,"(Select all that apply) Which of the following could be a regression target (y)?",
Option,0,"{cat, dog, rabbit}",
Option,1,"House price in dollars",
Option,1,"Temperature in degrees",
Option,0,"{spam, not spam}",
Option,0,"{pass, fail}",

NewQuestion,MC,
QuestionText,"You train a model and it does extremely well on the training rows but worse on the test rows. Which chapter concept does this relate to?",
Option,0,"Underfitting",
Option,100,"Overfitting",
Option,0,"Data cleaning",
Option,0,"Clustering",

NewQuestion,MC,
QuestionText,"You train a model and it performs poorly on both training rows and test rows. Which chapter concept does this relate to?",
Option,0,"Leakage",
Option,100,"Underfitting",
Option,0,"Overfitting",
Option,0,"Label encoding",

NewQuestion,MC,
QuestionText,"What does it mean for a model to generalize well?",
Option,0,"It runs faster than other models",
Option,100,"It performs well on new, unseen rows (such as test rows)",
Option,0,"It gets perfect training accuracy",
Option,0,"It uses more features than other models",

NewQuestion,MS,
QuestionText,"(Select all that apply) Which statements describe why we use a train/test split?",
Option,1,"It helps estimate performance on unseen data",
Option,1,"It helps measure generalization",
Option,1,"It prevents evaluating only on rows the model already learned from",
Option,0,"It guarantees the model will be correct on new data",

NewQuestion,MC,
QuestionText,"You have 12 total rows and choose test_size = 0.25. About how many rows go to the test set?",
Option,0,"9",
Option,100,"3",
Option,0,"1",
Option,0,"6",

NewQuestion,MC,
QuestionText,"If your test set has 3 rows and the model predicts 2 correctly, what is the test accuracy?",
Option,0,"0.75",
Option,100,"0.667",
Option,0,"2.0",
Option,0,"0.25",

NewQuestion,MC,
QuestionText,"In kNN classification, what does the model do to predict the label for a new row?",
Option,0,"It randomly chooses a label",
Option,100,"It finds the k nearest training rows and uses their labels to vote",
Option,0,"It always predicts the least common label",
Option,0,"It learns a single equation during training and uses it for prediction",

NewQuestion,MC,
QuestionText,"In the name "k-nearest neighbors," what does k mean?",
Option,0,"The number of test rows",
Option,100,"The number of neighbors used to make a prediction",
Option,0,"The number of input features",
Option,0,"The number of classes in the dataset",

NewQuestion,MC,
QuestionText,"Why is an odd value of k often used as a default in a two-class problem like pass/fail?",
Option,0,"Odd k makes training faster",
Option,100,"Odd k helps avoid ties in the vote",
Option,0,"Odd k increases the number of training rows",
Option,0,"Odd k always increases test accuracy",

NewQuestion,MS,
QuestionText,"(Select all that apply) What tends to happen as k increases in kNN (in general)?",
Option,1,"The model becomes less sensitive to any one training row",
Option,1,"Training accuracy often decreases",
Option,1,"The decision boundary becomes "smoother" (less flexible)",
Option,0,"The model becomes more sensitive to individual training rows",

NewQuestion,MC,
QuestionText,"kNN is different from many other models because "training" for kNN mainly involves:",
Option,0,"Randomly re-labeling the training rows",
Option,100,"Storing the training rows so they can be compared during prediction",
Option,0,"Solving for the best coefficients in an equation",
Option,0,"Deleting the training data after training finishes",

NewQuestion,MS,
QuestionText,"(Select all that apply) When k is very large relative to the number of training rows, what can happen?",
Option,1,"The model can behave like it is averaging over most of the training set",
Option,1,"Predictions can start to look similar for many different test rows",
Option,1,"The model can become too simple and miss real patterns (underfit)",
Option,0,"The model always overfits",

NewQuestion,MS,
QuestionText,"(Select all that apply) Which statements about training accuracy vs test accuracy are true?",
Option,1,"Training accuracy is computed on training rows",
Option,1,"Test accuracy is computed on held-back test rows",
Option,1,"Test accuracy is used as an estimate of generalization",
Option,0,"Training accuracy directly measures performance on unseen data",

NewQuestion,MS,
QuestionText,"(Select all that apply) Which of the following are examples of "features" (X) in the student-performance scenario?",
Option,1,"attendance",
Option,1,"homework_rate",
Option,1,"quiz_avg",
Option,1,"exam_avg",
Option,0,"final_score",
Option,0,"pass_fail",

NewQuestion,MC,
QuestionText,"A model has training accuracy = 1.00 and test accuracy = 1.00 on a very small dataset. Which is the best interpretation?",
Option,0,"The train/test split must be incorrect",
Option,100,"The result looks great, but with very few test rows it may not be a reliable estimate of generalization",
Option,0,"The model is definitely underfitting",
Option,0,"The model is guaranteed to generalize well to future data",

NewQuestion,MC,
QuestionText,"You evaluate a model using only the training rows and report that accuracy. What is the main problem with doing this?",
Option,0,"You are measuring generalization too strictly",
Option,100,"You are not measuring generalization to unseen rows",
Option,0,"You are guaranteed to get low accuracy",
Option,0,"You can't compute accuracy on training rows",

NewQuestion,MS,
QuestionText,"(Select all that apply) Which statements correctly describe what the test rows represent?",
Option,1,"Rows the model did not use during training",
Option,1,"A stand-in for "new" rows the model hasn't seen",
Option,1,"Rows used to estimate generalization performance",
Option,0,"Rows used to help the model memorize the training set",

NewQuestion,MC,
QuestionText,"You have a dataset of emails. X includes word counts and number of links. y is {spam, not spam}. What kind of task is this?",
Option,0,"Dimensionality reduction",
Option,100,"Classification",
Option,0,"Regression",
Option,0,"Clustering",

NewQuestion,MC,
QuestionText,"You have a dataset of apartments. X includes number of bedrooms and square footage. y is monthly rent in dollars. What kind of task is this?",
Option,0,"Clustering",
Option,100,"Regression",
Option,0,"Classification",
Option,0,"Dimensionality reduction",

NewQuestion,MS,
QuestionText,"(Select all that apply) Which of the following are reasonable signs of overfitting when you look at training vs test performance?",
Option,1,"Training accuracy is much higher than test accuracy",
Option,1,"Test performance drops while training performance stays very high",
Option,0,"Training accuracy is lower than test accuracy in every case",
Option,0,"Training accuracy and test accuracy are both low",

NewQuestion,MS,
QuestionText,"(Select all that apply) Which of the following are reasonable signs of underfitting when you look at training vs test performance?",
Option,1,"Training accuracy and test accuracy are both low",
Option,1,"The model performs poorly even on the training rows",
Option,0,"Training accuracy is 1.00 while test accuracy is 0.33",
Option,0,"Training accuracy is much higher than test accuracy",

NewQuestion,MC,
QuestionText,"In kNN classification, the "neighbors" are:",
Option,0,"The rows in the test set closest to the new row",
Option,100,"The training rows closest to the new row (according to a distance calculation)",
Option,0,"The rows with missing values removed",
Option,0,"The rows with the highest exam_avg values",

NewQuestion,MC,
QuestionText,"If you remove `random_state` from `train_test_split`, what is the most likely result?",
Option,0,"The dataset will no longer be supervised",
Option,100,"The split may change each time you run it, which can change training/test results",
Option,0,"The split will always be identical every run",
Option,0,"The model will become more accurate",

NewQuestion,MC,
QuestionText,"A model predicts a person's annual income. Which statement best matches why this is a regression problem in the chapter's terms?",
Option,0,"The output is chosen by voting",
Option,100,"Values "in between" make sense (e.g., $52,000 vs $52,500), so the output is continuous",
Option,0,"The output must be one of a few named categories",
Option,0,"The output is always a whole number",

NewQuestion,MC,
QuestionText,"A model predicts which language a short text is written in: {English, Spanish, French}. Why is this classification in the chapter's terms?",
Option,100,"The output must be one label from a fixed set of named options",
Option,0,"The output is computed by averaging",
Option,0,"Values "in between" languages make sense",
Option,0,"The output is a number on a continuous scale",

NewQuestion,MS,
QuestionText,"(Select all that apply) Which targets are most naturally treated as regression targets?",
Option,1,"House sale price in dollars",
Option,1,"Temperature in degrees",
Option,1,"Time to finish a task (seconds)",
Option,0,"{pass, fail}",
Option,0,"{spam, not spam}",
Option,0,"{cat, dog, rabbit}",

NewQuestion,MS,
QuestionText,"(Select all that apply) Which targets are most naturally treated as classification targets?",
Option,0,"Time to finish a task (seconds)",
Option,1,"{spam, not spam}",
Option,1,"{pass, fail}",
Option,1,"{cat, dog, rabbit}",
Option,0,"Temperature in degrees",
Option,0,"House sale price in dollars",

NewQuestion,MC,
QuestionText,"You train a model and report 100% accuracy on the training rows. Which is the best reason the chapter says this can be misleading?",
Option,0,"Accuracy cannot be computed on training rows",
Option,100,"A model can fit training rows very well without learning a pattern that works on new rows",
Option,0,"The training rows are always incorrect",
Option,0,"Training accuracy is always lower than test accuracy",

NewQuestion,MC,
QuestionText,"A company has past customer records where the final decision ("bought a boat" vs "did not buy") is already known for each customer. What is the real goal of training a supervised model here?",
Option,0,"To remove the outcome column so the dataset is cleaner",
Option,100,"To learn a pattern that predicts the outcome for new customers",
Option,0,"To "solve" the past customers (we already know what they did)",
Option,0,"To memorize the past outcomes exactly",

NewQuestion,MC,
QuestionText,"A model gets training accuracy = 1.00 and test accuracy = 0.60. Which chapter concept does this most strongly suggest?",
Option,0,"Perfect generalization",
Option,100,"Overfitting (fits training rows much better than it generalizes)",
Option,0,"Underfitting",
Option,0,"Random guessing",

NewQuestion,MC,
QuestionText,"A model gets training accuracy = 0.55 and test accuracy = 0.55. Which chapter concept does this most strongly suggest?",
Option,0,"Data leakage",
Option,100,"Underfitting (too simple to capture the pattern)",
Option,0,"Overfitting",
Option,0,"Memorization",

NewQuestion,MC,
QuestionText,"The chapter connects model complexity to dataset size/variety. Which statement best matches that idea?",
Option,0,"More data always causes overfitting",
Option,100,"With more data (and more variety), you can often use more complex models without overfitting as easily",
Option,0,"Smaller datasets always support more complex models",
Option,0,"Complexity never matters if you use kNN",

NewQuestion,MS,
QuestionText,"(Select all that apply) Which situations make overfitting more likely, according to the chapter's general discussion?",
Option,1,"A very complex model with very little data",
Option,1,"A model that matches training rows extremely well but test rows much worse",
Option,1,"A dataset that doesn't represent the variety of cases you care about",
Option,0,"A simple model with lots of varied data",
Option,0,"A model where training and test performance are both low",

NewQuestion,MC,
QuestionText,"In kNN classification, what does "vote" mean in the chapter's terms?",
Option,0,"Each feature column votes separately",
Option,100,"The neighbors' labels are counted, and the most common label is chosen",
Option,0,"The model chooses the rarest label",
Option,0,"The model averages the labels",

NewQuestion,MC,
QuestionText,"A new row has 5 nearest neighbors with labels: [pass, pass, fail, pass, fail]. With k = 5, what label does kNN predict?",
Option,0,"cannot be determined",
Option,100,"pass",
Option,0,"tie",
Option,0,"fail",

NewQuestion,MC,
QuestionText,"A new row has 4 nearest neighbors with labels: [pass, pass, fail, fail]. With k = 4, what is the main issue you can run into?",
Option,0,"Accuracy cannot be computed",
Option,100,"The vote can tie, so the implementation must break ties somehow",
Option,0,"The model becomes regression instead of classification",
Option,0,"The model cannot store the training rows",

NewQuestion,MS,
QuestionText,"(Select all that apply) Why is an odd k often a reasonable default in a two-class problem?",
Option,1,"It reduces the chance of a tie in the vote",
Option,1,"It forces a majority vote between the two classes",
Option,0,"It increases the number of training rows",
Option,0,"It guarantees higher test accuracy",

NewQuestion,MC,
QuestionText,"The chapter notes an "extreme k" case. If k equals the number of training rows, what does kNN classification tend to do?",
Option,0,"Always overfit",
Option,100,"Predict the most common label in the training rows for every new row",
Option,0,"Always predict the rarest label",
Option,0,"Predict a different label for every new row",

NewQuestion,MC,
QuestionText,"The chapter describes the typical pattern as k changes. Which statement best matches that story?",
Option,0,"Larger k always increases training accuracy",
Option,100,"Very small k can be too flexible; very large k can be too simple; the best k is often in between",
Option,0,"Only the test set size matters, not k",
Option,0,"k never affects model behavior",

NewQuestion,MC,
QuestionText,"You are comparing k = 1 vs k = 50 on the same dataset. Which choice is most consistent with the chapter's idea of model flexibility?",
Option,0,"They are equally flexible",
Option,100,"k = 1 is more flexible; k = 50 is smoother/less flexible",
Option,0,"Flexibility depends only on the number of features",
Option,0,"k = 50 is more flexible than k = 1",

NewQuestion,MC,
QuestionText,"The chapter also discusses kNN for regression. For kNN regression, how is the prediction made?",
Option,0,"By converting the number into pass/fail first",
Option,100,"By averaging (or combining) the neighbors' numeric target values",
Option,0,"By choosing the most common numeric value",
Option,0,"By voting among neighbors' labels",

NewQuestion,MC,
QuestionText,"In scikit-learn, what does calling `.fit(X_train, y_train)` mean for kNN in the chapter's description?",
Option,0,"It automatically selects the best k",
Option,100,"It stores the training rows (and labels) so the model can find neighbors during prediction",
Option,0,"It evaluates accuracy on the test rows",
Option,0,"It solves an equation and throws away the training rows",

NewQuestion,MC,
QuestionText,"In scikit-learn, what does calling `.predict(X_test)` do?",
Option,0,"It chooses which columns are features",
Option,100,"It produces predicted labels (or predicted numbers) for the test rows",
Option,0,"It splits data into training and test rows",
Option,0,"It measures accuracy directly",

NewQuestion,MC,
QuestionText,"In scikit-learn, what does calling `.score(X_test, y_test)` measure for classification?",
Option,0,"The average of the target values",
Option,100,"Accuracy: the fraction of predicted labels that match the true labels in y_test",
Option,0,"The distance between rows",
Option,0,"The number of neighbors used",

NewQuestion,MS,
QuestionText,"(Select all that apply) Which statements correctly describe how training accuracy and test accuracy are computed?",
Option,1,"Training accuracy is computed by comparing predictions on training rows to the true training labels",
Option,1,"Test accuracy is computed by comparing predictions on test rows to the true test labels",
Option,1,"Test accuracy is used as an estimate of generalization",
Option,0,"Training accuracy directly measures performance on unseen rows",

NewQuestion,MC,
QuestionText,"A student says: "If my training accuracy is high, my model must be good." Which response best matches the chapter's point?",
Option,0,"True—generalization only applies to regression",
Option,100,"Not necessarily—what matters is performance on held-back test rows (generalization)",
Option,0,"True—test accuracy is not meaningful",
Option,0,"True—training accuracy is all that matters",

NewQuestion,MS,
QuestionText,"(Select all that apply) Which of the following could be a classification target (y)?",
Option,1,"{cat, dog, rabbit}",
Option,1,"{pass, fail}",
Option,0,"Temperature in degrees",
Option,0,"House price in dollars",
Option,1,"{spam, not spam}",

NewQuestion,MS,
QuestionText,"(Select all that apply) Which of the following could be a regression target (y)?",
Option,0,"{pass, fail}",
Option,1,"Temperature in degrees",
Option,1,"House price in dollars",
Option,0,"{cat, dog, rabbit}",
Option,0,"{spam, not spam}",

