NewQuestion,MC,
QuestionText,"In a linear regression model, a prediction is computed as:",
Option,100,"Weighted sum of features plus an intercept",
Option,0,"Majority vote across neighbors",
Option,0,"Sequence of if/else splits",
Option,0,"Probability from class counts only",

NewQuestion,MC,
QuestionText,"If training score is high but test score is much lower, this most strongly suggests:",
Option,0,"Perfect generalization",
Option,0,"Underfitting",
Option,0,"Guaranteed data leakage",
Option,100,"Overfitting",

NewQuestion,MC,
QuestionText,"In Ridge regression, increasing alpha generally makes the model:",
Option,0,"More complex (less regularization)",
Option,0,"Unchanged (alpha only affects intercept)",
Option,100,"Simpler (more regularization)",
Option,0,"Switch to L1 regularization",

NewQuestion,MC,
QuestionText,"Lasso is most directly associated with:",
Option,0,"L2 penalty that shrinks coefficients without driving them to zero",
Option,100,"L1 penalty that can set some coefficients exactly to zero",
Option,0,"No regularization",
Option,0,"Tree-based splitting rules",

NewQuestion,MC,
QuestionText,"ElasticNet is best described as:",
Option,0,"Only L1 regularization",
Option,0,"Only L2 regularization",
Option,0,"A method for nearest neighbors",
Option,100,"A combination of L1 and L2 regularization",

NewQuestion,MC,
QuestionText,"For LogisticRegression and LinearSVC, increasing C generally:",
Option,100,"Decreases regularization (more complex model)",
Option,0,"Increases regularization (simpler model)",
Option,0,"Has no effect on fit",
Option,0,"Forces one-vs-one multiclass",

NewQuestion,MC,
QuestionText,"A linear classifier has a decision boundary that is:",
Option,0,"A hierarchy of if/else statements",
Option,100,"Linear in the feature space (line/plane/hyperplane)",
Option,0,"Always curved",
Option,0,"Based on counting tokens only",

NewQuestion,MC,
QuestionText,"Despite its name, LogisticRegression is used for:",
Option,0,"Regression only",
Option,0,"Clustering",
Option,100,"Classification",
Option,0,"Dimensionality reduction",

NewQuestion,MC,
QuestionText,"The one-vs-rest (OvR) approach trains:",
Option,100,"A binary classifier per class vs all other classes",
Option,0,"A classifier per feature",
Option,0,"One model that directly predicts all classes without binarization",
Option,0,"A classifier per data point",

NewQuestion,MC,
QuestionText,"In scikit-learn, method chaining after .fit() is possible primarily because .fit():",
Option,0,"Returns predictions",
Option,0,"Returns coefficients only",
Option,0,"Returns the test set",
Option,100,"Returns self",

NewQuestion,MC,
QuestionText,"For a 3-class LinearSVC with 2 features, coef_.shape is most consistent with:",
Option,0,"(2, 3)",
Option,0,"(2,)",
Option,100,"(3, 2)",
Option,0,"(3, 1)",

NewQuestion,MC,
QuestionText,"Which is a common caution when interpreting linear model coefficients?",
Option,0,"Coefficients never change with different training data",
Option,100,"Coefficients can change (even sign) with correlated features and different regularization strengths",
Option,0,"Coefficients exist only for Naive Bayes",
Option,0,"Coefficients always equal feature importances",

NewQuestion,MC,
QuestionText,"Ridge regression is most strongly associated with:",
Option,100,"L2 penalty",
Option,0,"L1 penalty",
Option,0,"No penalty",
Option,0,"Tree pruning",

NewQuestion,MC,
QuestionText,"L1 regularization tends to produce models that are:",
Option,0,"Dense (many small nonzero coefficients)",
Option,0,"Identical to KNN",
Option,0,"Impossible to train",
Option,100,"Sparse (many coefficients exactly zero)",

NewQuestion,MC,
QuestionText,"When alpha is extremely large in Ridge, you most often expect:",
Option,0,"Very large coefficients",
Option,0,"Guaranteed perfect test accuracy",
Option,100,"Coefficients shrink strongly toward zero",
Option,0,"Multiclass behavior changes to OvR",

NewQuestion,MC,
QuestionText,"A decision tree is best described as:",
Option,0,"A single linear equation",
Option,100,"A hierarchy of if/else questions leading to a decision",
Option,0,"A probability table over words",
Option,0,"A distance-based vote",

NewQuestion,MC,
