NewQuestion,MC,
QuestionText,"What fundamental approach do decision trees use to make predictions?",
Option,0,"Learning a weighted formula that applies globally to all data",
Option,0,"Storing all training data and searching for similar examples",
Option,100,"Learning a hierarchy of if-else questions during training",
Option,0,"Calculating distances between data points",

NewQuestion,MC,
QuestionText,"In scikit-learn, which module contains DecisionTreeClassifier?",
Option,0,"sklearn.linear_model",
Option,100,"sklearn.tree",
Option,0,"sklearn.neighbors",
Option,0,"sklearn.ensemble",

NewQuestion,MC,
QuestionText,"What does the max_depth parameter control in a decision tree?",
Option,0,"The number of features the tree can use",
Option,100,"The maximum number of questions the tree can ask in sequence",
Option,0,"The number of training examples required per leaf",
Option,0,"The minimum accuracy the tree must achieve",

NewQuestion,MC,
QuestionText,"What happens when a DecisionTreeClassifier is created with default settings (no max_depth specified)?",
Option,0,"The tree depth is limited to 5",
Option,0,"The tree cannot be trained",
Option,0,"The tree depth is automatically optimized",
Option,100,"The tree grows until all leaves are pure, with no depth limit",

NewQuestion,MC,
QuestionText,"What does it mean for a leaf node to be 'pure' in a decision tree?",
Option,0,"The leaf contains exactly one training example",
Option,0,"The leaf has been pruned for better generalization",
Option,100,"All training examples in the leaf have the same outcome",
Option,0,"The leaf uses only one feature for its decision",

NewQuestion,MC,
QuestionText,"Which statement best describes feature importance in decision trees?",
Option,0,"It shows the direction of each feature's effect (positive or negative)",
Option,100,"It shows which features the tree used most for making decisions",
Option,0,"It shows which features have the highest average values",
Option,0,"It shows which features were excluded from the tree",

NewQuestion,MC,
QuestionText,"In scikit-learn, how do you access feature importance values after training a DecisionTreeClassifier?",
Option,100,"Using the .feature_importances_ attribute",
Option,0,"Using the .coef_ attribute",
Option,0,"Using the .weights_ attribute",
Option,0,"Using the .score() method",

NewQuestion,MC,
QuestionText,"What do feature importance values in a decision tree always sum to?",
Option,0,"0",
Option,100,"1.0",
Option,0,"100",
Option,0,"The number of features",

NewQuestion,MC,
QuestionText,"A decision tree achieves perfect training accuracy (1.0) but significantly lower test accuracy. What does this indicate?",
Option,0,"The model is underfitting",
Option,0,"The features are not scaled properly",
Option,100,"The model is overfitting",
Option,0,"The model needs more training data",

NewQuestion,MC,
QuestionText,"How do decision trees differ from k-Nearest Neighbors (kNN) in terms of what they learn?",
Option,0,"Trees and kNN both store all training data",
Option,0,"Trees store training data; kNN learns a formula",
Option,0,"Trees and kNN both learn weighted formulas",
Option,100,"Trees learn a hierarchy of rules; kNN stores all training data",

NewQuestion,MC,
QuestionText,"How do decision trees differ from linear models in terms of decision boundaries?",
Option,0,"Trees create curved boundaries; linear models create axis-parallel boxes",
Option,100,"Trees create axis-parallel rectangular regions; linear models create straight lines or planes",
Option,0,"Trees and linear models both create curved boundaries",
Option,0,"Trees and linear models both create axis-parallel boundaries",

